on x=-32..18,y=-49..-2,z=-43..3
on x=-15..35,y=-31..16,z=-9..43
on x=-22..23,y=2..47,z=-35..13
on x=-45..8,y=-18..27,z=-34..17
on x=-15..31,y=-41..9,z=-35..19
on x=-28..21,y=0..46,z=-27..27
on x=3..49,y=-29..15,z=-45..4
on x=-41..8,y=-29..22,z=-48..-2
on x=-22..27,y=-46..-2,z=-12..37
on x=-19..25,y=-5..41,z=-49..0
off x=-37..-28,y=-17..0,z=-12..-1
on x=-14..39,y=-30..23,z=-42..9
off x=0..17,y=-11..8,z=33..47
on x=-14..33,y=-33..21,z=-4..40
off x=-34..-15,y=8..21,z=27..46
on x=-46..8,y=-20..25,z=-19..31
off x=-27..-10,y=7..22,z=-8..9
on x=-10..36,y=-36..9,z=-8..36
off x=6..19,y=-22..-13,z=-1..17
on x=-21..26,y=-20..34,z=-30..18
on x=42304..55089,y=-41094..-9559,z=-60602..-44103
on x=-12654..23439,y=-83963..-75173,z=-37505..-9707
on x=-20072..8304,y=72918..97850,z=-2675..16034
on x=-37986..-31048,y=-72328..-68972,z=-39387..-14025
on x=27419..32687,y=-76993..-55706,z=-21308..-3237
on x=34432..37132,y=-60344..-43624,z=-67083..-45697
on x=72302..73558,y=30119..43166,z=-1064..18581
on x=-84484..-55892,y=33693..47267,z=11712..34474
on x=-45658..-17069,y=70960..75993,z=-26483..-5829
on x=61376..87685,y=4257..22831,z=35253..41855
on x=3756..13562,y=-73892..-55475,z=32643..41653
on x=12722..33585,y=-65584..-45968,z=53199..66161
on x=-7455..2480,y=-33544..-4829,z=-93477..-76852
on x=-27465..-19542,y=-69335..-49389,z=-72381..-53443
on x=-40948..-21776,y=-44540..-28432,z=44396..70893
on x=-57672..-32684,y=44519..58887,z=-40153..-35064
on x=-46459..-23626,y=-73688..-55808,z=26012..46097
on x=2039..25740,y=62438..75663,z=29312..47419
on x=42026..52785,y=29466..32527,z=56876..60652
on x=-43347..-36821,y=-56451..-47624,z=-57964..-34225
on x=-54118..-47847,y=43457..79664,z=-24463..-2116
on x=-11663..13554,y=11098..19096,z=-92264..-61722
on x=45120..70705,y=-37305..-24246,z=35939..54051
